,,,Abra,Abra, Abra , Abra ,Arbok,Arbok, Arbok , Arbok ,Diglett Media,Diglett Media, Diglett Media , Diglett Media ,Ivysaur,Ivysaur, Ivysaur , Ivysaur ,Onix,Onix, Onix , Onix ,Snorlax,Snorlax, Snorlax , Snorlax ,Snorlax Tagless,Snorlax Tagless, Snorlax Tagless , Snorlax Tagless ,SPEAROW,SPEAROW, SPEAROW , SPEAROW 
Mth,Date,Site,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
1,1/10/2016,BibMe,105595,0, $ 214.32 , $ -   ,96234,0, $ 220.64 , $ -   ,0,0, $ -   , $ -   ,67440,0, $ 195.81 , $ -   ,188759,0, $ 360.48 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/10/2016,CitationMachine,498342,0," $ 1,053.54 ", $ -   ,752936,0," $ 1,258.75 ", $ -   ,0,0, $ -   , $ -   ,333282,0," $ 1,003.55 ", $ -   ,1783353,0," $ 3,259.17 ", $ -   ,571130,0," $ 1,090.92 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/10/2016,EasyBib,517563,0," $ 1,053.54 ", $ -   ,908768,0," $ 1,043.73 ", $ -   ,0,0, $ -   , $ -   ,536565,0," $ 1,366.60 ", $ -   ,1680857,0," $ 2,956.58 ", $ -   ,391733,0, $ 701.08 , $ -   ,0,0, $ -   , $ -   ,904687,963401," $ 2,725.36 "," $ 3,024.33 "
1,1/11/2016,BibMe,107966,0, $ 230.67 , $ -   ,82064,0, $ 186.30 , $ -   ,0,0, $ -   , $ -   ,61613,0, $ 171.17 , $ -   ,176476,0, $ 316.63 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/11/2016,CitationMachine,484759,0," $ 1,006.27 ", $ -   ,739118,0," $ 1,121.51 ", $ -   ,0,0, $ -   , $ -   ,318098,0, $ 902.10 , $ -   ,1614198,0," $ 2,781.96 ", $ -   ,503698,0, $ 875.75 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/11/2016,EasyBib,621133,0," $ 1,323.01 ", $ -   ,1244213,0," $ 1,295.91 ", $ -   ,0,0, $ -   , $ -   ,626172,0," $ 1,472.51 ", $ -   ,2141910,0," $ 3,341.63 ", $ -   ,474082,0, $ 873.63 , $ -   ,0,0, $ -   , $ -   ,911354,854491," $ 2,780.88 "," $ 2,769.32 "
1,1/12/2016,BibMe,129956,0, $ 285.75 , $ -   ,89608,0, $ 200.53 , $ -   ,0,0, $ -   , $ -   ,65779,0, $ 178.64 , $ -   ,231188,0, $ 416.12 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/12/2016,CitationMachine,596219,0," $ 1,326.09 ", $ -   ,795387,0," $ 1,243.51 ", $ -   ,0,0, $ -   , $ -   ,332714,0, $ 890.13 , $ -   ,1899228,0," $ 3,346.24 ", $ -   ,621471,0," $ 1,190.37 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/12/2016,EasyBib,734112,0," $ 1,604.81 ", $ -   ,1246462,0," $ 1,350.06 ", $ -   ,0,0, $ -   , $ -   ,620442,0," $ 1,413.50 ", $ -   ,2185536,0," $ 3,525.44 ", $ -   ,541032,0," $ 1,040.57 ", $ -   ,0,0, $ -   , $ -   ,1101815,1099894," $ 3,123.89 "," $ 3,227.17 "
1,1/13/2016,BibMe,142138,0, $ 334.95 , $ -   ,85858,0, $ 186.30 , $ -   ,0,0, $ -   , $ -   ,68458,0, $ 192.80 , $ -   ,222585,0, $ 395.19 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/13/2016,CitationMachine,686009,0," $ 1,483.63 ", $ -   ,808821,0," $ 1,263.55 ", $ -   ,0,0, $ -   , $ -   ,379558,0," $ 1,058.33 ", $ -   ,1932574,0," $ 3,376.56 ", $ -   ,975635,0," $ 2,076.86 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/13/2016,EasyBib,806893,0," $ 1,661.53 ", $ -   ,1183552,0," $ 1,283.72 ", $ -   ,0,0, $ -   , $ -   ,596523,0," $ 1,410.75 ", $ -   ,2082334,0," $ 3,251.99 ", $ -   ,779110,0," $ 1,607.56 ", $ -   ,0,0, $ -   , $ -   ,1106245,1094115," $ 3,190.90 "," $ 3,351.67 "
1,1/14/2016,BibMe,179252,0, $ 441.42 , $ -   ,49535,0, $ 108.14 , $ -   ,0,0, $ -   , $ -   ,89284,0, $ 251.11 , $ -   ,322762,0, $ 598.66 , $ -   ,87690,0, $ 361.30 , $ -   ,0,0, $ -   , $ -   ,164997,192037, $ 323.06 , $ 406.23 
1,1/14/2016,CitationMachine,741341,0," $ 1,691.59 ", $ -   ,881598,0," $ 1,424.98 ", $ -   ,0,0, $ -   , $ -   ,406940,0," $ 1,181.08 ", $ -   ,2222104,0," $ 4,223.10 ", $ -   ,718976,0," $ 1,325.09 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/14/2016,EasyBib,913369,0," $ 1,979.01 ", $ -   ,1383014,0," $ 1,520.86 ", $ -   ,0,0, $ -   , $ -   ,707786,0," $ 1,735.52 ", $ -   ,2720491,0," $ 4,426.16 ", $ -   ,565169,0," $ 1,000.36 ", $ -   ,0,0, $ -   , $ -   ,1206050,1208923," $ 3,534.88 "," $ 3,761.17 "
1,1/15/2016,BibMe,131940,0, $ 343.42 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,78013,0, $ 228.63 , $ -   ,264077,0, $ 573.02 , $ -   ,84379,0, $ 251.48 , $ -   ,0,0, $ -   , $ -   ,513126,440572, $ 911.46 , $ 798.56 
1,1/15/2016,CitationMachine,549835,0," $ 1,303.83 ", $ -   ,705586,0," $ 1,113.56 ", $ -   ,0,0, $ -   , $ -   ,330911,0, $ 993.67 , $ -   ,1773639,0," $ 3,689.03 ", $ -   ,620282,0," $ 1,228.39 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/15/2016,EasyBib,612017,0," $ 1,460.58 ", $ -   ,831145,0, $ 956.62 , $ -   ,0,0, $ -   , $ -   ,443504,0," $ 1,087.76 ", $ -   ,1637421,0," $ 2,950.23 ", $ -   ,395103,0, $ 708.66 , $ -   ,0,0, $ -   , $ -   ,826827,719370," $ 2,364.50 "," $ 2,134.83 "
1,1/16/2016,BibMe,85267,0, $ 238.74 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,58669,0, $ 192.95 , $ -   ,171935,0, $ 429.31 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,224305,210915, $ 414.59 , $ 398.35 
1,1/16/2016,CitationMachine,352213,0, $ 863.97 , $ -   ,571360,0, $ 902.54 , $ -   ,0,0, $ -   , $ -   ,237788,0, $ 789.31 , $ -   ,1195645,0," $ 2,775.86 ", $ -   ,391658,0, $ 848.99 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/16/2016,EasyBib,175187,0, $ 441.20 , $ -   ,287821,0, $ 394.19 , $ -   ,0,0, $ -   , $ -   ,186778,0, $ 556.26 , $ -   ,573873,0," $ 1,229.36 ", $ -   ,124872,0, $ 265.72 , $ -   ,0,0, $ -   , $ -   ,318380,307974, $ 973.00 , $ 976.79 
1,1/17/2016,BibMe,152172,0, $ 419.05 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,101976,0, $ 310.16 , $ -   ,301627,0, $ 702.49 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,347163,331398, $ 616.61 , $ 599.63 
1,1/17/2016,CitationMachine,617625,0," $ 1,441.63 ", $ -   ,1112633,0," $ 1,657.99 ", $ -   ,0,0, $ -   , $ -   ,417847,0," $ 1,320.63 ", $ -   ,2126380,0," $ 4,773.45 ", $ -   ,688101,0," $ 1,401.16 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
