,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
Date,SUM of Abra_1,SUM of Abra_2,SUM of  Abra_3 ,SUM of  Abra_4 ,SUM of Arbok_1,SUM of Arbok_2,SUM of  Arbok_3 ,SUM of  Arbok_4 ,SUM of Diglett Media_1,SUM of Diglett Media_2,SUM of  Diglett Media_3 ,SUM of  Diglett Media_4 ,SUM of Ivysaur_1,SUM of Ivysaur_2,SUM of  Ivysaur_3 ,SUM of  Ivysaur_4 ,SUM of Onix_1,SUM of Onix_2,SUM of  Onix_3 ,SUM of  Onix_4 ,SUM of Snorlax_1,SUM of Snorlax_2,SUM of  Snorlax_3 ,SUM of  Snorlax_4 ,SUM of SPEAROW_1,SUM of SPEAROW_2,SUM of  SPEAROW_3 ,SUM of  SPEAROW_4 
2/12/2016,1521513,0," $ 4,407.06 ", $ -   ,2151617,0," $ 3,901.12 ", $ -   ,0,0, $ -   , $ -   ,2246996,0," $ 6,941.32 ", $ -   ,4373562,0," $ 8,851.73 ", $ -   ,57317,0, $ 136.31 , $ -   ,3473557,3157808," $ 8,064.84 "," $ 7,578.41 "
2/13/2016,807038,0," $ 2,361.86 ", $ -   ,1319636,0," $ 2,740.15 ", $ -   ,0,0, $ -   , $ -   ,1710525,0," $ 4,803.07 ", $ -   ,2070423,0," $ 5,313.36 ", $ -   ,73286,0, $ 219.82 , $ -   ,2474546,2375250," $ 6,292.23 "," $ 6,181.82 "
2/14/2016,1274367,0," $ 3,606.64 ", $ -   ,2339410,0," $ 4,685.04 ", $ -   ,0,0, $ -   , $ -   ,2834983,0," $ 7,813.54 ", $ -   ,3628631,0," $ 9,016.99 ", $ -   ,134891,0, $ 363.90 , $ -   ,4068653,4099257," $ 10,378.76 "," $ 10,801.98 "
2/15/2016,2478214,0," $ 6,474.03 ", $ -   ,3194135,0," $ 5,619.62 ", $ -   ,0,0, $ -   , $ -   ,1059416,0," $ 2,925.44 ", $ -   ,5426456,0," $ 11,632.46 ", $ -   ,53522,0, $ 138.21 , $ -   ,5003666,4943231," $ 12,335.73 "," $ 12,573.09 "
2/16/2016,3196829,0," $ 8,298.89 ", $ -   ,3322794,0," $ 5,581.67 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,7059443,0," $ 14,041.07 ", $ -   ,0,0, $ -   , $ -   ,5732445,5535280," $ 13,740.80 "," $ 13,533.09 "
2/17/2016,2576477,0," $ 6,118.57 ", $ -   ,4576324,0," $ 7,972.75 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,7705089,0," $ 15,709.62 ", $ -   ,142141,0, $ 275.42 , $ -   ,6995530,6627619," $ 16,677.98 "," $ 16,270.41 "
2/18/2016,3318984,0," $ 8,760.23 ", $ -   ,4167403,0," $ 7,206.93 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,7030129,0," $ 14,086.30 ", $ -   ,283398,0, $ 543.40 , $ -   ,6640849,6154180," $ 16,100.99 "," $ 15,274.55 "
2/19/2016,3239946,0," $ 9,937.08 ", $ -   ,3566669,0," $ 6,828.91 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,5071042,0," $ 10,034.78 ", $ -   ,0,0, $ -   , $ -   ,4436568,3843464," $ 11,033.91 "," $ 9,910.47 "
2/20/2016,2543331,0," $ 8,694.16 ", $ -   ,2342186,0," $ 4,907.42 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,2831182,0," $ 6,747.37 ", $ -   ,0,0, $ -   , $ -   ,3052767,2913189," $ 8,003.74 "," $ 7,918.68 "
2/21/2016,5616073,0," $ 17,090.57 ", $ -   ,4984780,0," $ 9,550.69 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,7070157,0," $ 15,964.90 ", $ -   ,0,0, $ -   , $ -   ,7438347,7585390," $ 19,527.17 "," $ 20,822.37 "
